date,permno,predicted
202310,18312,-0.36574656
202308,13688,-0.33899125
202212,92221,-0.31181496
202310,15488,-0.3099601
202307,75241,-0.28820294
202310,34817,-0.28452018
202302,61241,-0.28428528
202003,53613,-0.28425118
202310,88949,-0.28151047
202310,75825,-0.2806412
202303,14702,-0.28029242
202308,93436,-0.27925214
202303,86783,-0.27327955
202303,12622,-0.271399
202305,13407,-0.26912692
202301,75241,-0.2678899
202307,88182,-0.26726273
202302,34833,-0.26587614
202308,25785,-0.26528224
202309,22592,-0.2628139
202307,34833,-0.2624053
202307,18312,-0.26194164
202302,12622,-0.26149172
202308,70519,-0.26066014
202302,75241,-0.2602178
202304,34833,-0.25836796
202303,59328,-0.2580796
202305,34833,-0.25743288
202302,75825,-0.2554097
202310,13356,-0.25536105
202307,22592,-0.25281137
202212,18312,-0.2527907
202302,87137,-0.25167495
202301,86783,-0.25118
202311,34817,-0.24972026
202307,28484,-0.24843724
202308,15488,-0.24806572
202301,13928,-0.24705778
202307,15488,-0.24391966
202308,88182,-0.24366854
202303,12872,-0.24284633
202303,57665,-0.2415093
201908,14295,-0.24034138
202308,85269,-0.24010386
202303,12369,-0.23948124
202303,25785,-0.23919047
202309,75825,-0.23750818
202307,13928,-0.23742819
202310,92221,-0.23534596
202311,15488,-0.23514622
202303,28484,-0.23457381
202302,82800,-0.234421
202301,12622,-0.23362678
202312,66800,-0.2321078
202003,92221,-0.23168309
202312,38703,-0.23141123
202307,25785,-0.23099163
202311,75825,-0.2307939
202308,64186,-0.23075822
202303,46886,-0.23023902
202311,66800,-0.22937034
202311,13407,-0.22918616
202312,47896,-0.22766402
202308,15826,-0.2265822
202304,93436,-0.22589456
202310,12308,-0.22505687
202307,13356,-0.22501208
202105,14231,-0.22351563
202305,12308,-0.2235027
202302,34817,-0.22295626
202304,13928,-0.2227047
201908,12872,-0.22263855
202311,18726,-0.22222565
202312,13356,-0.22207378
202306,22592,-0.22203355
202304,14702,-0.2205946
202305,48486,-0.21974766
202312,34817,-0.2195651
202311,66157,-0.21885873
202101,14702,-0.21861649
202305,70519,-0.21848768
202302,25785,-0.21833439
202306,77661,-0.21816726
202307,84788,-0.217976
202307,85269,-0.21738318
202312,66157,-0.21699592
202305,53613,-0.21615224
202311,89525,-0.2157536
202309,34833,-0.2154601
202307,81055,-0.21511301
202101,92221,-0.21509223
202312,59408,-0.21471797
202307,70519,-0.21369539
202312,70519,-0.21268032
202305,13928,-0.21230426
202308,78987,-0.21228665
202312,17942,-0.21171476
202302,81774,-0.21169558
202304,78987,-0.21143328
202311,38703,-0.2109091
202303,81774,-0.2108068
202303,90664,-0.21065415
202308,18312,-0.20928033
202302,14702,-0.20888902
202303,12308,-0.20857571
202301,11850,-0.2085566
202309,88182,-0.20840333
202304,82800,-0.20825818
202310,17942,-0.20704944
201505,76744,-0.20699202
202308,59408,-0.20692238
202003,86580,-0.2067867
202303,78987,-0.20654522
202310,13928,-0.20573227
202303,82800,-0.20526554
