date,permno,target,predicted
202310,18312,-0.269294853,-0.36574656
202308,13688,-0.078889629,-0.33899125
202212,92221,-0.094327245,-0.31181496
202310,15488,-0.11862404900000001,-0.3099601
202307,75241,0.0847460942,-0.28820294
202310,34817,-0.059449042,-0.28452018
202302,61241,0.0422420518,-0.28428528
202003,53613,-0.201071687,-0.28425118
202310,88949,-0.0015889760000000006,-0.28151047
202310,75825,-0.0022150060000000003,-0.2806412
202303,14702,0.05391184,-0.28029242
202308,93436,-0.039462445,-0.27925214
202303,86783,0.0472755594,-0.27327955
202303,12622,0.0819617002,-0.271399
202305,13407,0.0979312597,-0.26912692
202301,75241,0.0050818414,-0.2678899
202307,88182,0.134747179,-0.26726273
202302,34833,-0.099556806,-0.26587614
202308,25785,-0.086256242,-0.26528224
202309,22592,-0.126639889,-0.2628139
202307,34833,0.0691394897,-0.2624053
202307,18312,-0.036104908,-0.26194164
202302,12622,-0.048956162,-0.26149172
202308,70519,-0.127034595,-0.26066014
202302,75241,-0.133376124,-0.2602178
202304,34833,-0.017916169999999995,-0.25836796
202303,59328,0.3068692101,-0.2580796
202305,34833,-0.066496132,-0.25743288
202302,75825,-0.148806455,-0.2554097
202310,13356,-0.055303427,-0.25536105
202307,22592,0.1094974445,-0.25281137
202212,18312,0.0177902821,-0.2527907
202302,87137,-0.150775137,-0.25167495
202301,86783,0.2043222632,-0.25118
202311,34817,0.1456778794,-0.24972026
202307,28484,0.111572081,-0.24843724
202308,15488,-0.180047361,-0.24806572
202301,13928,0.029296632500000003,-0.24705778
202307,15488,0.1317205297,-0.24391966
202308,88182,-0.090718104,-0.24366854
202303,12872,0.0872576325,-0.24284633
202303,57665,0.0316723151,-0.2415093
201908,14295,0.0064359289,-0.24034138
202308,85269,0.011092197,-0.24010386
202303,12369,-0.054451867,-0.23948124
202303,25785,0.0403105816,-0.23919047
202309,75825,-0.018761148999999998,-0.23750818
202307,13928,0.1316837685,-0.23742819
202310,92221,-0.026105824,-0.23534596
202311,15488,0.1077621877,-0.23514622
202303,28484,-0.017872462999999998,-0.23457381
202302,82800,-0.01031393,-0.234421
202301,12622,0.0594688278,-0.23362678
202312,66800,0.030649135,-0.2321078
202003,92221,-0.208189331,-0.23168309
202312,38703,0.0995349643,-0.23141123
202307,25785,-0.121486126,-0.23099163
202311,75825,-0.029588122,-0.2307939
202308,64186,-0.068342751,-0.23075822
202303,46886,0.0485640778,-0.23023902
202311,66800,0.0689974278,-0.22937034
202311,13407,0.0815030336,-0.22918616
202312,47896,0.0855257568,-0.22766402
202308,15826,-0.288617699,-0.2265822
202304,93436,-0.211491943,-0.22589456
202310,12308,-0.088870841,-0.22505687
202307,13356,0.165032463,-0.22501208
202105,14231,0.0314745381,-0.22351563
202305,12308,-0.119005522,-0.2235027
202302,34817,-0.012748017000000002,-0.22295626
202304,13928,0.0335930396,-0.2227047
201908,12872,-0.119528721,-0.22263855
202311,18726,0.3362686783,-0.22222565
202312,13356,0.028673852,-0.22207378
202306,22592,0.0686610124,-0.22203355
202304,14702,-0.083285094,-0.2205946
202305,48486,0.1731287254,-0.21974766
202312,34817,0.022822385800000004,-0.2195651
202311,66157,0.1913339942,-0.21885873
202101,14702,0.1201780604,-0.21861649
202305,70519,-0.06202362299999999,-0.21848768
202302,25785,-0.05077235599999999,-0.21833439
202306,77661,0.1349929503,-0.21816726
202307,84788,0.020967874499999997,-0.217976
202307,85269,0.0944769846,-0.21738318
202312,66157,0.1439161582,-0.21699592
202305,53613,0.0560643314,-0.21615224
202311,89525,0.0101313265,-0.2157536
202309,34833,0.0318521952,-0.2154601
202307,81055,0.06544599849999999,-0.21511301
202101,92221,0.0621545332,-0.21509223
202312,59408,0.0999964384,-0.21471797
202307,70519,0.0306867713,-0.21369539
202312,70519,0.1115351451,-0.21268032
202305,13928,-0.033534846,-0.21230426
202308,78987,-0.128941192,-0.21228665
202312,17942,0.0511323718,-0.21171476
202302,81774,-0.085201832,-0.21169558
202304,78987,-0.132289693,-0.21143328
202311,38703,0.1255974769,-0.2109091
202303,81774,-0.005064520000000001,-0.2108068
202303,90664,0.0429723649,-0.21065415
202308,18312,-0.043510741,-0.20928033
202302,14702,0.0407295505,-0.20888902
202303,12308,-0.030802744,-0.20857571
202301,11850,0.0482678969,-0.2085566
202309,88182,-0.060261831999999994,-0.20840333
202304,82800,0.0041065813,-0.20825818
202310,17942,-0.043977788,-0.20704944
201505,76744,0.0406391509,-0.20699202
202308,59408,-0.101062497,-0.20692238
202003,86580,-0.025256755,-0.2067867
202303,78987,0.0303380465,-0.20654522
202310,13928,-0.013047245,-0.20573227
202303,82800,0.0311400941,-0.20526554
202312,65875,-0.020736239999999996,-0.20498225
202302,93132,0.1322514841,-0.20452589
202303,85269,0.0561434938,-0.20419654
202302,21207,-0.179481613,-0.20383796
202303,76709,0.0531154028,-0.20330337
202303,26403,0.0016203256999999995,-0.20303729
202303,49154,-0.020632612,-0.20248905
202310,85269,-0.108503582,-0.20187154
202212,15488,-0.094997514,-0.20140803
202303,90215,0.2174744917,-0.20127825
202308,75825,-0.034002781,-0.20092012
202012,81055,0.1541503387,-0.20076996
